Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
467,Giacomo Raspadori,ITA,Att,Napoli,24,2000,35,14,"1,524",5,3,8,0,0,5.6,4.2,3.7
468,Federico Ravaglia,ITA,Por,Bologna,24,1999,5,5,450,0,0,0,0,0,0.0,0.0,0.0
469,Tijjani Reijnders,NED,Cen,Milan,25,1998,34,31,"2,640",3,3,6,8,0,3.2,3.2,3.7
470,Reinier,BRA,Cen,Frosinone,22,2002,20,13,"1,048",2,2,4,3,0,1.2,1.2,1.9
471,Mateo Retegui,ITA,Att,Genoa,25,1999,28,25,"2,126",7,2,9,5,0,5.7,4.9,0.7
472,Samuele Ricci,ITA,Cen,Torino,22,2001,30,26,"2,215",1,2,3,7,1,1.3,1.3,2.2
473,Ricardo Rodríguez,SUI,Dif,Torino,31,1992,34,33,"2,712",0,1,1,4,0,0.3,0.3,1.2
474,Alessio Romagnoli,ITA,Dif,Lazio,29,1995,28,25,"2,321",0,0,0,9,0,0.5,0.5,0.2
475,Simone Romagnoli,ITA,Dif,Frosinone,34,1990,31,28,"2,535",1,1,2,6,0,1.2,1.2,0.4
476,Luka Romero,ARG,Att,Milan,19,2004,4,0,88,0,0,0,1,0,0.1,0.1,0.0
477,Marten de Roon,NED,Cen,Atalanta,33,1991,30,29,"2,599",0,5,5,10,0,0.6,0.6,1.2
478,Nicolò Rovella,ITA,Cen,Lazio,22,2001,21,14,"1,201",0,1,1,6,0,0.6,0.6,0.4
479,Amir Rrahmani,KVX,Dif,Napoli,30,1994,29,29,"2,510",2,0,2,5,0,1.9,1.9,0.9
480,Ruan,BRA,Dif,Sassuolo,24,1999,25,15,"1,455",0,0,0,7,1,0.5,0.5,0.6
481,Daniele Rugani,ITA,Dif,Juventus,29,1994,16,12,"1,097",2,0,2,2,0,1.6,1.6,0.4
482,Matteo Ruggeri,ITA,Dif,Atalanta,21,2002,32,27,"2,331",0,4,4,3,0,0.5,0.5,1.7
483,Mário Rui,POR,Dif,Napoli,32,1991,21,14,"1,205",0,2,2,7,1,0.1,0.1,1.9
